Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-29 23:58:53.054,114302.6,0.654,BTCUSDT
2025-09-29 23:58:53.054,114302.6,1.191,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.001,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.002,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.001,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.01,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.005,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.017,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.005,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.002,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.076,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.001,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.008,BTCUSDT
2025-09-29 23:58:53.054,114302.6,0.006,BTCUSDT
2025-09-29 23:58:53.056,114302.5,0.001,BTCUSDT
2025-09-29 23:58:53.056,114302.5,0.001,BTCUSDT
2025-09-29 23:58:53.056,114302.5,0.001,BTCUSDT
2025-09-29 23:58:53.056,114302.3,0.002,BTCUSDT
2025-09-29 23:58:53.056,114302.0,0.002,BTCUSDT
2025-09-29 23:58:53.056,114301.8,0.001,BTCUSDT
2025-09-29 23:58:53.056,114301.4,0.002,BTCUSDT
2025-09-29 23:58:53.056,114301.1,0.002,BTCUSDT
2025-09-29 23:58:53.056,114300.8,0.002,BTCUSDT
2025-09-29 23:58:53.056,114300.3,0.001,BTCUSDT
2025-09-29 23:58:53.056,114300.2,0.002,BTCUSDT
2025-09-29 23:58:53.056,114300.0,0.002,BTCUSDT
2025-09-29 23:58:53.056,114300.0,0.001,BTCUSDT
2025-09-29 23:58:53.056,114300.0,0.001,BTCUSDT
2025-09-29 23:58:53.056,114300.0,0.002,BTCUSDT
2025-09-29 23:58:53.056,114299.8,0.002,BTCUSDT
2025-09-29 23:58:53.056,114299.6,0.002,BTCUSDT
2025-09-29 23:58:53.056,114299.5,0.001,BTCUSDT
2025-09-29 23:58:53.056,114299.0,0.002,BTCUSDT
2025-09-29 23:58:53.056,114298.9,0.002,BTCUSDT
2025-09-29 23:58:53.056,114298.7,0.002,BTCUSDT
2025-09-29 23:58:53.056,114298.6,0.001,BTCUSDT
2025-09-29 23:58:53.056,114298.4,0.002,BTCUSDT
2025-09-29 23:58:53.056,114297.8,0.002,BTCUSDT
2025-09-29 23:58:53.056,114297.7,0.002,BTCUSDT
2025-09-29 23:58:53.056,114297.6,0.002,BTCUSDT
2025-09-29 23:58:53.056,114297.3,0.027,BTCUSDT
2025-09-29 23:58:53.056,114297.2,0.002,BTCUSDT
2025-09-29 23:58:53.056,114296.9,0.06,BTCUSDT
2025-09-29 23:58:53.056,114296.9,0.018,BTCUSDT
2025-09-29 23:58:53.056,114296.7,0.005,BTCUSDT
2025-09-29 23:58:53.056,114296.7,0.002,BTCUSDT
2025-09-29 23:58:53.061,114296.6,0.001,BTCUSDT
2025-09-29 23:58:53.061,114296.6,0.011,BTCUSDT
2025-09-29 23:58:53.128,114296.6,0.018,BTCUSDT
2025-09-29 23:58:53.207,114296.6,0.018,BTCUSDT
2025-09-29 23:58:53.372,114296.7,0.087,BTCUSDT
2025-09-29 23:58:53.703,114296.6,0.018,BTCUSDT
2025-09-29 23:58:53.738,114296.7,3.204,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.085,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.61,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.636,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.975,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.25,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.653,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.149,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.118,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.064,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.1,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.001,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.012,BTCUSDT
2025-09-29 23:58:53.738,114296.7,1.191,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.207,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.001,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.053,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.177,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.001,BTCUSDT
2025-09-29 23:58:53.738,114296.7,1.158,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.04,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.042,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.001,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.001,BTCUSDT
2025-09-29 23:58:53.738,114296.7,0.001,BTCUSDT
